Date,Open,High,Low,Close,Adj Close,Volume
2020-10-30,3268.000000,3296.250000,3225.000000,3264.750000,3264.750000,2494925
2020-11-01,null,null,null,null,null,null
2020-11-02,3260.000000,3323.500000,3243.250000,3300.500000,3300.500000,1849320
2020-11-03,3304.000000,3382.750000,3301.250000,3361.500000,3361.500000,1664690
2020-11-04,3362.750000,3480.000000,3319.000000,3435.000000,3435.000000,2813083
2020-11-05,3448.000000,3522.500000,3428.250000,3504.750000,3504.750000,1671417
2020-11-06,3508.750000,3519.000000,3456.750000,3500.750000,3500.750000,1640000
2020-11-08,null,null,null,null,null,null
2020-11-09,3522.500000,3668.000000,3515.750000,3544.000000,3544.000000,2605322
2020-11-10,3549.500000,3562.750000,3506.500000,3541.000000,3541.000000,2160319
2020-11-11,3546.250000,3576.750000,3531.000000,3568.000000,3568.000000,1324983
2020-11-12,3574.500000,3574.500000,3513.000000,3532.500000,3532.500000,1685890
2020-11-13,3537.500000,3590.000000,3518.000000,3582.000000,3582.000000,1334530
2020-11-15,null,null,null,null,null,null
2020-11-16,3587.000000,3637.000000,3586.500000,3623.000000,3623.000000,1303941
2020-11-17,3625.500000,3630.000000,3584.250000,3606.750000,3606.750000,1268206
2020-11-18,3604.500000,3623.250000,3556.500000,3565.000000,3565.000000,1325309
2020-11-19,3562.000000,3582.750000,3542.250000,3580.000000,3580.000000,1291117
2020-11-20,3560.000000,3582.500000,3542.750000,3554.250000,3554.250000,1189621
2020-11-22,null,null,null,null,null,null
2020-11-23,3546.500000,3588.000000,3545.500000,3576.000000,3576.000000,1204848
2020-11-24,3576.000000,3640.000000,3575.250000,3632.750000,3632.750000,1288993
2020-11-25,3635.500000,3655.000000,3615.250000,3627.250000,3627.250000,1016343
2020-11-27,null,null,null,null,null,null
2020-11-29,null,null,null,null,null,null
2020-11-30,3643.750000,3652.000000,3592.250000,3623.250000,3623.250000,1712274
2020-12-01,3631.000000,3677.500000,3626.000000,3660.500000,3660.500000,1365328
2020-12-02,3661.250000,3672.750000,3642.250000,3667.250000,3667.250000,1106696
2020-12-03,3671.000000,3682.000000,3655.250000,3664.500000,3664.500000,1124033
2020-12-04,3668.250000,3700.000000,3665.500000,3698.000000,3698.000000,991860
2020-12-06,null,null,null,null,null,null
2020-12-07,3694.750000,3705.000000,3672.250000,3690.750000,3690.750000,1078372
2020-12-08,3682.750000,3708.000000,3664.250000,3702.000000,3702.000000,1119000
2020-12-09,3707.750000,3714.750000,3659.500000,3672.500000,3672.500000,1792176
2020-12-10,3669.500000,3681.250000,3644.000000,3668.500000,3668.500000,1601203
2020-12-11,3670.000000,3674.750000,3628.250000,3661.250000,3661.250000,1538362
2020-12-13,null,null,null,null,null,null
2020-12-14,3677.750000,3698.000000,3642.750000,3646.500000,3646.500000,1486250
2020-12-15,3653.000000,3695.750000,3642.750000,3694.500000,3694.500000,1029503
2020-12-16,3697.750000,3711.500000,3687.000000,3700.750000,3700.750000,584711
2020-12-17,3704.500000,3724.750000,3699.500000,3721.250000,3721.250000,292916
2020-12-18,3721.500000,3733.250000,3707.750000,3726.250000,3726.250000,1731161
2020-12-20,null,null,null,null,null,null
2020-12-21,3718.250000,3724.000000,3596.000000,3685.750000,3685.750000,1837575
2020-12-22,3685.000000,3695.000000,3663.750000,3677.250000,3677.250000,1104998
2020-12-23,3674.250000,3701.750000,3651.000000,3681.500000,3681.500000,1021819
2020-12-24,null,null,null,null,null,null
2020-12-27,null,null,null,null,null,null
2020-12-28,3682.000000,3732.250000,3676.000000,3727.500000,3727.500000,760654
2020-12-29,3731.000000,3747.750000,3714.500000,3720.000000,3720.000000,992636
2020-12-30,3724.500000,3738.250000,3716.500000,3724.250000,3724.250000,769995
2020-12-31,3725.000000,3753.000000,3715.000000,3748.750000,3748.750000,993343
2021-01-03,null,null,null,null,null,null
2021-01-04,3748.750000,3773.250000,3652.500000,3692.250000,3692.250000,2037616
2021-01-05,3695.000000,3730.000000,3673.250000,3718.250000,3718.250000,1414022
2021-01-06,3717.500000,3774.750000,3685.500000,3740.500000,3740.500000,2127155
2021-01-07,3752.500000,3804.000000,3742.000000,3795.500000,3795.500000,1302021
2021-01-08,3797.750000,3824.500000,3775.000000,3817.500000,3817.500000,1619438
2021-01-10,null,null,null,null,null,null
2021-01-11,3815.500000,3820.750000,3776.500000,3792.000000,3792.000000,1292422
2021-01-12,3794.250000,3806.750000,3768.000000,3794.500000,3794.500000,1216214
2021-01-13,3792.000000,3813.500000,3776.500000,3803.750000,3803.750000,1049186
2021-01-14,3808.500000,3817.750000,3786.250000,3791.250000,3791.250000,1170812
2021-01-15,3793.000000,3797.750000,3741.500000,3762.250000,3762.250000,1781463
2021-01-17,null,null,null,null,null,null
2021-01-19,3750.000000,3797.000000,3740.500000,3790.500000,3790.500000,1315580
2021-01-20,3796.750000,3852.500000,3788.500000,3845.000000,3845.000000,1248787
2021-01-21,3841.500000,3859.750000,3836.500000,3846.000000,3846.000000,1068271
2021-01-22,3846.750000,3849.000000,3813.250000,3834.250000,3834.250000,1186856
2021-01-24,null,null,null,null,null,null
2021-01-25,3835.500000,3853.250000,3788.500000,3848.500000,3848.500000,1763898
2021-01-26,3845.000000,3862.250000,3821.500000,3842.500000,3842.500000,1172461
2021-01-27,3845.250000,3853.000000,3706.500000,3744.250000,3744.250000,2572020
2021-01-28,3735.250000,3823.500000,3703.500000,3779.250000,3779.250000,2149910
2021-01-29,3770.250000,3777.250000,3685.500000,3705.250000,3705.250000,2691820
2021-01-31,null,null,null,null,null,null
2021-02-01,3692.250000,3777.000000,3656.500000,3765.750000,3765.750000,1687396
2021-02-02,3764.750000,3835.750000,3760.000000,3818.250000,3818.250000,1419765
2021-02-03,3829.500000,3843.500000,3807.750000,3823.500000,3823.500000,1285692
2021-02-04,3832.750000,3869.750000,3811.250000,3864.500000,3864.500000,1136404
2021-02-05,3864.250000,3888.250000,3860.000000,3880.250000,3880.250000,1138874
2021-02-07,null,null,null,null,null,null
2021-02-08,3889.000000,3911.250000,3885.500000,3908.000000,3908.000000,972437
2021-02-09,3910.500000,3913.250000,3895.000000,3905.500000,3905.500000,881922
2021-02-10,3912.250000,3928.500000,3878.250000,3903.000000,3903.000000,1560824
